,0,1,2,3,4,5,6
0,2011.4.2 (토),한화,롯데,0:6,0,6,사직
1,2011.4.2 (토),LG,두산,0:4,0,4,잠실
2,2011.4.2 (토),삼성,KIA,6:2,6,2,광주
3,2011.4.2 (토),넥센,SK,0:2,0,2,문학
4,2011.4.3 (일),한화,롯데,3:1,3,1,사직
5,2011.4.3 (일),LG,두산,7:0,7,0,잠실
6,2011.4.3 (일),삼성,KIA,8:9,8,9,광주
7,2011.4.3 (일),넥센,SK,3:5,3,5,문학
8,2011.4.5 (화),KIA,한화,9:1,9,1,대전
9,2011.4.5 (화),롯데,삼성,10:3,10,3,대구
10,2011.4.5 (화),두산,넥센,3:4,3,4,목동
11,2011.4.5 (화),SK,LG,6:5,6,5,잠실
12,2011.4.6 (수),KIA,한화,9:10,9,10,대전
13,2011.4.6 (수),롯데,삼성,0:1,0,1,대구
14,2011.4.6 (수),두산,넥센,5:2,5,2,목동
15,2011.4.6 (수),SK,LG,5:6,5,6,잠실
16,2011.4.8 (금),KIA,두산,6:10,6,10,잠실
17,2011.4.8 (금),LG,한화,8:4,8,4,대전
18,2011.4.8 (금),롯데,넥센,0:3,0,3,목동
19,2011.4.8 (금),삼성,SK,1:3,1,3,문학
20,2011.4.9 (토),KIA,두산,9:10,9,10,잠실
21,2011.4.9 (토),LG,한화,11:2,11,2,대전
22,2011.4.9 (토),롯데,넥센,6:12,6,12,목동
23,2011.4.9 (토),삼성,SK,4:5,4,5,문학
24,2011.4.10 (일),KIA,두산,8:0,8,0,잠실
25,2011.4.10 (일),LG,한화,9:4,9,4,대전
26,2011.4.10 (일),롯데,넥센,5:1,5,1,목동
27,2011.4.10 (일),삼성,SK,9:4,9,4,문학
28,2011.4.12 (화),한화,SK,1:6,1,6,문학
29,2011.4.12 (화),두산,롯데,4:4,4,4,사직
30,2011.4.12 (화),삼성,LG,5:1,5,1,잠실
31,2011.4.12 (화),넥센,KIA,3:7,3,7,광주
32,2011.4.13 (수),한화,SK,8:9,8,9,문학
33,2011.4.13 (수),두산,롯데,10:2,10,2,사직
34,2011.4.13 (수),삼성,LG,3:4,3,4,잠실
35,2011.4.13 (수),넥센,KIA,6:0,6,0,광주
36,2011.4.14 (목),한화,SK,1:5,1,5,문학
37,2011.4.14 (목),두산,롯데,7:6,7,6,사직
38,2011.4.14 (목),삼성,LG,5:1,5,1,잠실
39,2011.4.14 (목),넥센,KIA,3:6,3,6,광주
40,2011.4.15 (금),한화,KIA,4:9,4,9,광주
41,2011.4.15 (금),롯데,LG,2:8,2,8,잠실
42,2011.4.15 (금),두산,삼성,1:2,1,2,대구
43,2011.4.15 (금),SK,넥센,2:1,2,1,목동
44,2011.4.16 (토),한화,KIA,4:3,4,3,광주
45,2011.4.16 (토),롯데,LG,3:4,3,4,잠실
46,2011.4.16 (토),두산,삼성,3:2,3,2,대구
47,2011.4.16 (토),SK,넥센,7:5,7,5,목동
48,2011.4.17 (일),한화,KIA,1:8,1,8,광주
49,2011.4.17 (일),롯데,LG,4:1,4,1,잠실
50,2011.4.17 (일),두산,삼성,4:5,4,5,대구
51,2011.4.17 (일),SK,넥센,4:5,4,5,목동
52,2011.4.19 (화),KIA,삼성,0:8,0,8,대구
53,2011.4.19 (화),LG,SK,3:6,3,6,문학
54,2011.4.19 (화),롯데,한화,2:2,2,2,대전
